"Jyrki er et lyn";1995;"Bølle bob"
"Skriver på specialet";1995;"Walking by Myself"
"Dette var revyen";1995;"In the Mood"
"Clicking my day away";1995;"Sleeping my day away"
"Kom til fest på DIKU";1995;"Be My Life's Companion"
"Lampesangen";1994;
"En PC på et bord";1994;"To lys på et bord"
"Dat0-revysion";1994;"Vi lister os afsted på tå"
"Femten mand på vej...";1994;"Femten mand på en død mands kiste"
"Femten mand på vej...";1994;"Blod og Guld"
"Eksamen";1994;"Bohemian Rhapsody"
"Superbrugerdrillesang";1994;"Nissedrillesangen"
"Kernesang";1994;"The Boxer"
"Det tror vi ej på DIKU";1994;"That ain't no way to treat a lady"
"Kod mig!";1994;"Feed me"
"Her på stedet";1994;"Rabalderstræde"
"Pia";1993;"Smilende Sussi"
"Rusvejledersang";1993;"Bare Neccesities"
"Stigs Sang";1993;"Krig og Fred"
"Elefantsangen";1993;"Jeg vil male himlen blå"
"Vaxen Freja";1993;"Hvalen Valborg"
"Kernesang";1993;"Time Warp"
"Johnny ka' kode";1993;"Johnny B. Goode"
"Nu er der sommerfest";1993;"Born In the USA"
"DIKU-gryde";1992;"Peberkagebagesangen"
"Velkommen til DIKU";1992;"Hotel California"
"Dat 0 er et hul";1992;
"Sig de ord";1992;
"Sexchikane";1992;"Sexchikane"
"1 PC på et bord,...";1992;"To lys på et bord..."
"Good Vibrations";1992;
"Tryk på";1992;
"Ærlig talt...";1992;"Det er ikke genialt"
"Megavisen";1992;
"Så længe jeg læser";1992;"Så længe jeg lever"
"Penge penge";1992;
"åh, det lemmingspil...";1992;"She'll be coming round the mountain..."
"I'm a Lumberjack -- Monty Python";1992;
